Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
Fin w/bulb & spade rudder,Fractional  Sloop,12.11 m,10.60 m,3.70 m,80.18 m<sup>2</sup>,2.51 m,"7,100 kg","3,300 kg",22.15,46.48,166.10,FG,Lead,2003,,Mills Design,24.00,1.94,3.79,16.25 m,4.70 m,16.00 m,5.25 m,6.61 m,17.82 m,38.19 m<sup>2</sup>,41.99 m<sup>2</sup>,22.15,16.91 m,"<a class="""" href=""https://sailboatdata.com/sailboat/summit-40/pdf"">PDF</a>",SUMMIT 40,08908.jpg,,Summit Yachts (USA),3JH4E,,Yanmar w/saildrive,Diesel,39,98 L,,201 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,12.11 m,10.60 m,3.70 m,80.18 m<sup>2</sup>,2.51 m,"7,100 kg","3,300 kg",22.15,46.48,166.10,FG,Lead,2003,,Mills Design,24.00,1.94,3.79,16.25 m,4.70 m,16.00 m,5.25 m,6.61 m,17.82 m,38.19 m<sup>2</sup>,41.99 m<sup>2</sup>,22.15,16.91 m,"<a class="""" href=""https://sailboatdata.com/sailboat/summit-40/pdf"">PDF</a>",SUMMIT 40,08909.jpg,,Summit Yachts (USA),3JH4E,,Yanmar w/saildrive,Diesel,39,98 L,,201 L,,,,,,,
Fin with rudder on skeg,Masthead Sloop,10.31 m,8.53 m,3.35 m,51.19 m<sup>2</sup>,1.80 m,"4,763 kg","2,722 kg",18.45,57.14,213.53,FG,,1979,5,Hein Driehuyzen,22.37,2.01,2.71,13.79 m,4.50 m,12.04 m,3.35 m,,,31.00 m<sup>2</sup>,20.18 m<sup>2</sup>,18.45,14.51 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-1030/pdf"">PDF</a>",SUN 1030,08910.jpg,,GlassFab (USA),,,,,,,,,,,,,,,
Centerboard (Trunk),Fractional  Sloop,6.63 m,5.79 m,2.54 m,21.27 m<sup>2</sup>,1.57 m,"1,250 kg",,18.69,,179.38,FG,,2000,,Olivier Petit/Jeanneau,12.76,2.38,3.17,8.18 m,2.36 m,8.31 m,2.79 m,,,9.66 m<sup>2</sup>,11.59 m<sup>2</sup>,18.67,8.51 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-2000-jeanneau/pdf"">PDF</a>",SUN 2000 (JEANNEAU),08911.jpg,0.28 m,Jeanneau (FRA),,,,,,,,,,,,,,,
Keel/CB w/dual rudders,Fractional  Sloop,7.50 m,7.15 m,2.90 m,26.76 m<sup>2</sup>,1.75 m,"2,699 kg",672 kg,14.08,24.89,205.72,FG w/balsa core hull & deck,,2001,,Olivier Petit/Jeanneau,19.23,2.10,2.28,9.12 m,2.95 m,9.20 m,2.90 m,,,13.45 m<sup>2</sup>,13.33 m<sup>2</sup>,14.09,9.59 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-2500-jeanneau/pdf"">PDF</a>",SUN 2500 (JEANNEAU),08912.jpg,0.69 m,Jeanneau (FRA),,,,,,26 L,,57 L,,,,,,,
Keel/CB w/dual rudders,Fractional  Sloop,7.50 m,7.15 m,2.90 m,26.76 m<sup>2</sup>,1.75 m,"2,699 kg",672 kg,14.08,24.89,205.72,FG w/balsa core hull & deck,,2001,,Olivier Petit/Jeanneau,19.23,2.10,2.28,9.12 m,2.95 m,9.20 m,2.90 m,,,13.45 m<sup>2</sup>,13.33 m<sup>2</sup>,14.09,9.59 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-2500-jeanneau/pdf"">PDF</a>",SUN 2500 (JEANNEAU),08913.jpg,0.69 m,Jeanneau (FRA),,,,,,26 L,,57 L,,,,,,,
Fin w/spade rudder,Masthead Sloop,8.38 m,6.86 m,2.74 m,31.59 m<sup>2</sup>,1.32 m,"2,812 kg","1,043 kg",16.17,37.10,242.99,FG,,1977,155,Monk/Perry,21.39,1.96,2.15,10.31 m,3.63 m,8.31 m,3.05 m,,,18.72 m<sup>2</sup>,12.66 m<sup>2</sup>,16.06,10.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-27/pdf"">PDF</a>",SUN 27,08914.jpg,,Sun Yachts,,1980,,,,57 L,,61 L,,,,,,,
Fin w/spade rudder,Masthead Sloop,8.53 m,6.86 m,2.74 m,31.49 m<sup>2</sup>,1.52 m,"2,722 kg","1,043 kg",16.48,38.33,235.16,FG,,1977,,Robert Perry,20.57,1.98,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-28/pdf"">PDF</a>",SUN 28,08915.jpg,,Spencer,,,,,,,,,,,,,,,
Centerboard Dinghy,Cat (Marconi),5.03 m,4.57 m,2.21 m,15.33 m<sup>2</sup>,0.79 m,544 kg,,23.42,,158.73,FG,,1972,,Clark Mills,8.57,2.73,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-cat-17-1/pdf"">PDF</a>",SUN CAT 17-1,08916.jpg,0.23 m,Dilks & Company (USA),,,,,,,,,,,,,,,
Keel/Cbrd.,Gaff head Cat,5.28 m,4.57 m,2.21 m,13.94 m<sup>2</sup>,1.37 m,680 kg,,18.35,,198.41,FG,,2000,,Clark Mills,10.55,2.54,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-cat-17-2-com-pac/pdf"">PDF</a>",SUN CAT 17-2 (COM-PAC),08917.jpg,0.35 m,Com Pac (USA),,,,,,,,,,,,,,,
Keel/Cbrd.,Gaff head Cat,5.28 m,4.57 m,2.21 m,13.94 m<sup>2</sup>,1.37 m,680 kg,,18.35,,198.41,FG,,2000,,Clark Mills,10.55,2.54,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-cat-17-2-com-pac/pdf"">PDF</a>",SUN CAT 17-2 (COM-PAC),08918.jpg,0.35 m,Com Pac (USA),,,,,,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,11.99 m,9.89 m,3.89 m,63.73 m<sup>2</sup>,1.96 m,"6,500 kg","2,450 kg",18.67,37.69,187.39,FG,,1988,,Jacques Faroux,21.63,2.10,3.06,15.30 m,4.60 m,13.60 m,4.20 m,,,35.19 m<sup>2</sup>,28.56 m<sup>2</sup>,18.68,15.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-charm-39-jeanneau/pdf"">PDF</a>",SUN CHARM 39 (JEANNEAU),08919.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,50,140 L,,360 L,,,,,,,
Fin w/spade rudder,Masthead Sloop,11.99 m,9.89 m,3.89 m,63.73 m<sup>2</sup>,1.96 m,"6,500 kg","2,450 kg",18.67,37.69,187.39,FG,,1988,,Jacques Faroux,21.63,2.10,3.06,15.30 m,4.60 m,13.60 m,4.20 m,,,35.19 m<sup>2</sup>,28.56 m<sup>2</sup>,18.68,15.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-charm-39-jeanneau/pdf"">PDF</a>",SUN CHARM 39 (JEANNEAU),08920.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,50,140 L,,360 L,,,,,,,
Fin w/spade rudder,Masthead Sloop,11.02 m,9.19 m,3.81 m,53.42 m<sup>2</sup>,1.96 m,"5,035 kg","1,712 kg",18.55,34.00,180.63,FG,,1988,,J&J Design/D. Andrieu,18.57,2.25,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-dance-36-jeanneau/pdf"">PDF</a>",SUN DANCE 36 (JEANNEAU),08921.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,27,151 L,,371 L,,,,,,,
Fin w/spade rudder,Masthead Sloop,8.99 m,7.49 m,3.22 m,34.37 m<sup>2</sup>,1.64 m,"2,693 kg","1,100 kg",18.11,40.85,178.44,FG,,1987,,Tony Castro,15.21,2.34,3.12,10.75 m,3.57 m,9.20 m,3.30 m,,,19.19 m<sup>2</sup>,15.19 m<sup>2</sup>,18.11,11.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-dream-28-jeanneau/pdf"">PDF</a>",SUN DREAM 28 (JEANNEAU),08922.jpg,,Jeanneau (FRA),,1991,,,,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,8.99 m,7.49 m,3.22 m,34.37 m<sup>2</sup>,1.64 m,"2,693 kg","1,100 kg",18.11,40.85,178.44,FG,,1987,,Tony Castro,15.21,2.34,3.12,10.75 m,3.57 m,9.20 m,3.30 m,,,19.19 m<sup>2</sup>,15.19 m<sup>2</sup>,18.11,11.33 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-dream-28-jeanneau/pdf"">PDF</a>",SUN DREAM 28 (JEANNEAU),08923.jpg,,Jeanneau (FRA),,1991,,,,,,,,,,,,,
Centerboard (Trunk),Fractional  Sloop,5.05 m,4.60 m,2.30 m,13.47 m<sup>2</sup>,1.00 m,600 kg,125 kg,19.29,20.86,171.89,FG,,1994,,Jacek Centkowski,8.91,2.75,2.93,5.05 m,1.65 m,5.85 m,2.40 m,,,4.17 m<sup>2</sup>,7.02 m<sup>2</sup>,16.01,5.32 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-17-jeanneau/pdf"">PDF</a>",SUN FAST 17 (JEANNEAU),08924.jpg,0.25 m,Jeanneau (FRA),,,,,,,,,,,,,,,
Swing Keel,Fractional  Sloop,6.40 m,5.75 m,2.40 m,19.05 m<sup>2</sup>,1.30 m,780 kg,270 kg,22.90,34.59,114.46,FG,,1985,500,Jacek Centkowski,8.73,2.63,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-20-jeanneau/pdf"">PDF</a>",SUN FAST 20 (JEANNEAU),08925.jpg,0.25 m,Jeanneau (FRA),,1999,,,,,,,,,,,,,
Swing Keel,Fractional  Sloop,6.40 m,5.75 m,2.40 m,19.05 m<sup>2</sup>,1.30 m,780 kg,270 kg,22.90,34.59,114.46,FG,,1985,500,Jacek Centkowski,8.73,2.63,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-20-jeanneau/pdf"">PDF</a>",SUN FAST 20 (JEANNEAU),08926.jpg,0.25 m,Jeanneau (FRA),,1999,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,7.47 m,6.76 m,2.95 m,27.13 m<sup>2</sup>,1.50 m,"2,600 kg",900 kg,14.63,34.61,234.83,FG,,2003,,Philippe Briand / Jeanneau Design ,18.86,2.16,2.07,8.94 m,2.46 m,9.24 m,3.48 m,,,11.01 m<sup>2</sup>,16.09 m<sup>2</sup>,14.61,9.27 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-26-jeanneau/pdf"">PDF</a>",SUN FAST 26 (JEANNEAU),08927.jpg,,Jeanneau,,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,7.47 m,6.76 m,2.95 m,27.13 m<sup>2</sup>,1.50 m,"2,600 kg",900 kg,14.63,34.61,234.83,FG,,2003,,Philippe Briand / Jeanneau Design ,18.86,2.16,2.07,8.94 m,2.46 m,9.24 m,3.48 m,,,11.01 m<sup>2</sup>,16.09 m<sup>2</sup>,14.61,9.27 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-26-jeanneau/pdf"">PDF</a>",SUN FAST 26 (JEANNEAU),08928.jpg,,Jeanneau,,,,,,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,9.30 m,7.70 m,3.23 m,38.55 m<sup>2</sup>,1.75 m,"3,100 kg","1,202 kg",18.50,38.78,189.29,FG,Lead or Iron,1991,,Daniel Andrieu,16.96,2.24,3.02,11.00 m,3.25 m,11.20 m,3.70 m,,,17.87 m<sup>2</sup>,20.72 m<sup>2</sup>,18.51,11.47 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-31-jeanneau/pdf"">PDF</a>",SUN FAST 31 (JEANNEAU),08929.jpg,,Jeanneau (FRA),2GM20,1994,Yanmar,Diesel,18,45 L,,91 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,9.50 m,8.05 m,3.30 m,39.21 m<sup>2</sup>,1.45 m,"3,850 kg","1,310 kg",16.28,34.02,205.71,FG,,1993,100,Briand,19.73,2.13,2.56,11.61 m,3.22 m,11.41 m,3.60 m,,,18.71 m<sup>2</sup>,20.53 m<sup>2</sup>,16.30,12.05 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-32-jeanneau/pdf"">PDF</a>",SUN FAST 32 (JEANNEAU),08930.jpg,,Jeanneau (FRA),,2001,,Diesel,17,42 L,,159 L,,,,,,14.30 m,
Fin w/spade rudder,Fractional  Sloop,9.50 m,8.05 m,3.30 m,39.21 m<sup>2</sup>,1.45 m,"3,850 kg","1,310 kg",16.28,34.02,205.71,FG,,1993,100,Briand,19.73,2.13,2.56,11.61 m,3.22 m,11.41 m,3.60 m,,,18.71 m<sup>2</sup>,20.53 m<sup>2</sup>,16.30,12.05 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-32-jeanneau/pdf"">PDF</a>",SUN FAST 32 (JEANNEAU),08931.jpg,,Jeanneau (FRA),,2001,,Diesel,17,42 L,,159 L,,,,,,14.30 m,
Fin w/bulb & dual rudders,Fractional  Sloop,10.08 m,9.75 m,3.48 m,49.15 m<sup>2</sup>,1.88 m,"3,400 kg","1,300 kg",22.17,38.23,102.12,FG,Lead,2008,,Daniel Andrieu,13.99,2.34,5.01,12.50 m,3.85 m,11.80 m,4.25 m,,,24.06 m<sup>2</sup>,25.07 m<sup>2</sup>,22.16,13.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-3200-jeanneau/pdf"">PDF</a>",SUN FAST 3200 (JEANNEAU),08932.jpg,,Jeanneau,,,Yanmar,Diesel,15,76 L,,79 L,,,,,,,
Fin w/bulb & dual rudders,Fractional  Sloop,10.08 m,9.75 m,3.48 m,49.15 m<sup>2</sup>,1.88 m,"3,400 kg","1,300 kg",22.17,38.23,102.12,FG,Lead,2008,,Daniel Andrieu,13.99,2.34,5.01,12.50 m,3.85 m,11.80 m,4.25 m,,,24.06 m<sup>2</sup>,25.07 m<sup>2</sup>,22.16,13.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-3200-jeanneau/pdf"">PDF</a>",SUN FAST 3200 (JEANNEAU),08933.jpg,,Jeanneau,,,Yanmar,Diesel,15,76 L,,79 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,9.60 m,8.52 m,3.30 m,42.36 m<sup>2</sup>,1.98 m,"4,190 kg","1,130 kg",16.63,26.97,188.86,FG,,2005,,Philippe Briand,20.60,2.07,2.79,11.95 m,3.62 m,11.16 m,3.71 m,,,21.64 m<sup>2</sup>,20.70 m<sup>2</sup>,16.62,12.49 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-32i-jeanneau/pdf"">PDF</a>",SUN FAST 32I (JEANNEAU),08934.jpg,,Jeanneau (FRA),,,,Diesel,27,68 L,,170 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,9.60 m,8.52 m,3.30 m,42.36 m<sup>2</sup>,1.98 m,"4,190 kg","1,130 kg",16.63,26.97,188.86,FG,,2005,,Philippe Briand,20.60,2.07,2.79,11.95 m,3.62 m,11.16 m,3.71 m,,,21.64 m<sup>2</sup>,20.70 m<sup>2</sup>,16.62,12.49 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-32i-jeanneau/pdf"">PDF</a>",SUN FAST 32I (JEANNEAU),08935.jpg,,Jeanneau (FRA),,,,Diesel,27,68 L,,170 L,,,,,,,
Fin w/dual rudders,Fractional  Sloop,10.11 m,8.90 m,3.40 m,61.97 m<sup>2</sup>,1.95 m,"3,500 kg","1,400 kg",27.42,39.99,138.36,Infusion molded FG,,2019,,Daniel Andrieu / Guillaume Verdier,15.77,2.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-3300-jeanneau/pdf"">PDF</a>",SUN FAST 3300 (JEANNEAU),08936.jpg,,Jeanneau,,,,Diesel,15,50 L,,100 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.75 m,9.74 m,3.49 m,68.10 m<sup>2</sup>,2.15 m,"5,535 kg","1,460 kg",22.21,26.38,167.02,FG,,2004,,Marc Lombard,22.26,1.99,3.21,13.95 m,4.05 m,12.85 m,4.00 m,,,28.26 m<sup>2</sup>,25.69 m<sup>2</sup>,17.59,14.53 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-35-jeanneau/pdf"">PDF</a>",SUN FAST 35 (JEANNEAU),08937.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,40,130 L,,310 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.75 m,9.74 m,3.49 m,68.10 m<sup>2</sup>,2.15 m,"5,535 kg","1,460 kg",22.21,26.38,167.02,FG,,2004,,Marc Lombard,22.26,1.99,3.21,13.95 m,4.05 m,12.85 m,4.00 m,,,28.26 m<sup>2</sup>,25.69 m<sup>2</sup>,17.59,14.53 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-35-jeanneau/pdf"">PDF</a>",SUN FAST 35 (JEANNEAU),08938.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,40,130 L,,310 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,11.31 m,9.60 m,3.49 m,57.14 m<sup>2</sup>,1.96 m,"6,200 kg","2,100 kg",17.27,33.87,195.23,FG,Iron or Lead,1994,,Philippe Briand,24.76,1.92,2.80,13.60 m,3.80 m,13.60 m,4.61 m,,,25.85 m<sup>2</sup>,31.34 m<sup>2</sup>,17.29,14.12 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-36-jeanneau/pdf"">PDF</a>",SUN FAST 36 (JEANNEAU),08939.jpg,,Jeanneau (FRA),3GM30,,Yanmar,Diesel,27,91 L,,280 L,,,,,,,
Fin w/bulb & dual rudders,Fractional  Sloop,11.25 m,9.50 m,3.55 m,69.77 m<sup>2</sup>,2.13 m,"4,700 kg","2,000 kg",25.37,42.55,152.75,Vacuum-bagged resin infusion,Lead,2012,,Andrieu Yacht Design,18.50,2.14,3.99,14.00 m,4.20 m,13.49 m,4.60 m,,,29.40 m<sup>2</sup>,31.02 m<sup>2</sup>,21.97,14.62 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-3600-jeanneau/pdf"">PDF</a>",SUN FAST 3600 (JEANNEAU),08940.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,21,75 L,,100 L,,,,,,,
Fin w/bulb & dual rudders,Fractional  Sloop,11.25 m,9.50 m,3.55 m,69.77 m<sup>2</sup>,2.13 m,"4,700 kg","2,000 kg",25.37,42.55,152.75,Vacuum-bagged resin infusion,Lead,2012,,Andrieu Yacht Design,18.50,2.14,3.99,14.00 m,4.20 m,13.49 m,4.60 m,,,29.40 m<sup>2</sup>,31.02 m<sup>2</sup>,21.97,14.62 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-3600-jeanneau/pdf"">PDF</a>",SUN FAST 3600 (JEANNEAU),08941.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,21,75 L,,100 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.40 m,9.60 m,3.70 m,59.27 m<sup>2</sup>,2.07 m,"6,250 kg","2,040 kg",17.82,32.64,196.81,FG,Lead,2000,,Jacques Fauroux,23.03,2.03,2.82,14.12 m,3.89 m,13.18 m,4.75 m,,,27.44 m<sup>2</sup>,31.30 m<sup>2</sup>,17.66,14.65 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-37-jeanneau/pdf"">PDF</a>",SUN FAST 37 (JEANNEAU),08942.jpg,,Jeanneau (FRA),MD2030,,Volvo Penta,Diesel,56,136 L,,318 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.40 m,9.60 m,3.70 m,59.27 m<sup>2</sup>,2.07 m,"6,250 kg","2,040 kg",17.82,32.64,196.81,FG,Lead,2000,,Jacques Fauroux,23.03,2.03,2.82,14.12 m,3.89 m,13.18 m,4.75 m,,,27.44 m<sup>2</sup>,31.30 m<sup>2</sup>,17.66,14.65 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-37-jeanneau/pdf"">PDF</a>",SUN FAST 37 (JEANNEAU),08943.jpg,,Jeanneau (FRA),MD2030,,Volvo Penta,Diesel,56,136 L,,318 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.87 m,9.87 m,3.89 m,68.19 m<sup>2</sup>,1.95 m,"6,500 kg","2,450 kg",19.98,37.69,188.44,FG,,1989,,Jacques Fauroux,21.71,2.11,3.20,14.60 m,4.52 m,15.30 m,4.60 m,,,33.00 m<sup>2</sup>,35.19 m<sup>2</sup>,19.98,15.28 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-39-jeanneau/pdf"">PDF</a>",SUN FAST 39 (JEANNEAU),08944.jpg,,Jeanneau (FRA),,,,,,140 L,,360 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.87 m,9.87 m,3.89 m,68.19 m<sup>2</sup>,1.95 m,"6,500 kg","2,450 kg",19.98,37.69,188.44,FG,,1989,,Jacques Fauroux,21.71,2.11,3.20,14.60 m,4.52 m,15.30 m,4.60 m,,,33.00 m<sup>2</sup>,35.19 m<sup>2</sup>,19.98,15.28 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-39-jeanneau/pdf"">PDF</a>",SUN FAST 39 (JEANNEAU),08945.jpg,,Jeanneau (FRA),,,,,,140 L,,360 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,12.19 m,10.16 m,3.94 m,69.77 m<sup>2</sup>,1.93 m,"7,300 kg","2,400 kg",18.92,32.88,194.05,FG,Iron,2003,,Daniel Andrieu,23.31,2.05,3.00,16.08 m,4.22 m,14.88 m,4.82 m,,,33.89 m<sup>2</sup>,35.91 m<sup>2</sup>,18.93,16.62 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-40-jeanneau/pdf"">PDF</a>",SUN FAST 40 (JEANNEAU),08946.jpg,,Jeanneau (FRA),,,,Diesel,30,136 L,,322 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,12.20 m,10.17 m,3.95 m,68.93 m<sup>2</sup>,2.10 m,"8,190 kg","2,400 kg",17.31,29.30,216.92,FG,,2004,,Daniel Andrieu,26.02,1.98,2.55,15.53 m,4.22 m,14.20 m,5.10 m,,,32.76 m<sup>2</sup>,36.21 m<sup>2</sup>,17.32,16.09 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-403-jeanneau/pdf"">PDF</a>",SUN FAST 40.3 (JEANNEAU),08947.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,56,136 L,,341 L,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,12.20 m,10.17 m,3.95 m,68.93 m<sup>2</sup>,2.10 m,"8,190 kg","2,400 kg",17.31,29.30,216.92,FG,,2004,,Daniel Andrieu,26.02,1.98,2.55,15.53 m,4.22 m,14.20 m,5.10 m,,,32.76 m<sup>2</sup>,36.21 m<sup>2</sup>,17.32,16.09 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-403-jeanneau/pdf"">PDF</a>",SUN FAST 40.3 (JEANNEAU),08948.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,56,136 L,,341 L,,,,,,,
Fin w/spade rudder,Masthead Sloop,12.45 m,9.98 m,3.94 m,65.31 m<sup>2</sup>,1.95 m,"7,300 kg","2,555 kg",17.71,35.00,204.73,FG,,1990,,Doug Peterson,23.39,2.05,2.73,15.60 m,4.60 m,13.70 m,4.30 m,,,35.87 m<sup>2</sup>,29.46 m<sup>2</sup>,17.72,16.26 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-41-jeanneau/pdf"">PDF</a>",SUN FAST 41 (JEANNEAU),08949.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,,125 L,,102 L,,,,,,,
Fin w/bulb & spade rudder,Masthead Sloop,12.70 m,10.69 m,3.91 m,76.55 m<sup>2</sup>,1.85 m,"8,500 kg","3,300 kg",18.76,38.82,193.95,FG,Lead or Iron,1996,25,Philippe Briand,26.13,1.94,2.99,16.70 m,4.68 m,14.70 m,5.10 m,,,39.07 m<sup>2</sup>,37.48 m<sup>2</sup>,18.76,17.34 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-42-jeanneau/pdf"">PDF</a>",SUN FAST 42 (JEANNEAU),08950.jpg,,Jeanneau (FRA),4JH,1999,Yanmar,Diesel,60,151 L,,348 L,,,,,,18.00 m,
Fin w/bulb & spade rudder,Masthead Sloop,13.21 m,11.43 m,4.19 m,87.14 m<sup>2</sup>,2.55 m,"9,200 kg","2,800 kg",20.26,30.44,171.70,FG,,2003,,Daniel Andrieu,24.34,2.02,3.48,17.52 m,4.74 m,16.30 m,5.60 m,,,41.52 m<sup>2</sup>,45.64 m<sup>2</sup>,20.26,18.15 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-43-jeanneau/pdf"">PDF</a>",SUN FAST 43 (JEANNEAU),08951.jpg,,Jeanneau (FRA),,,Yanmar,Diesel,80,201 L,,401 L,,,,,,,
Fin w/bulb & spade rudder,Masthead Sloop,15.56 m,13.50 m,4.42 m,109.25 m<sup>2</sup>,2.45 m,"13,000 kg","5,025 kg",20.17,38.65,147.27,FG,,1992,20,Philippe Briand,27.16,1.90,3.86,19.67 m,5.44 m,17.30 m,6.45 m,,,53.51 m<sup>2</sup>,55.79 m<sup>2</sup>,20.18,20.41 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fast-52-jeanneau/pdf"">PDF</a>",SUN FAST 52 (JEANNEAU),08952.jpg,,Jeanneau (FRA),,1994,,Diesel,80,201 L,,530 L,,,,,,21.01 m,
Fin w/spade rudder,Masthead Sloop,12.30 m,10.21 m,3.85 m,62.15 m<sup>2</sup>,1.95 m,"7,303 kg","2,998 kg",16.85,41.06,191.18,FG,Iron,1980,,Philippe Briand,23.89,2.00,2.80,15.24 m,4.24 m,13.72 m,4.36 m,,,32.28 m<sup>2</sup>,29.89 m<sup>2</sup>,16.86,15.82 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fizz-40-jeanneau/pdf"">PDF</a>",SUN FIZZ 40 (JEANNEAU),08953.jpg,,Jeanneau (FRA),,1984,Perkins,Diesel,50,,,,,,,,,,
Fin w/spade rudder,Masthead Sloop,12.30 m,10.21 m,3.85 m,62.15 m<sup>2</sup>,1.95 m,"7,303 kg","2,998 kg",16.85,41.06,191.18,FG,Iron,1980,,Philippe Briand,23.89,2.00,2.80,15.24 m,4.24 m,13.72 m,4.36 m,,,32.28 m<sup>2</sup>,29.89 m<sup>2</sup>,16.86,15.82 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-fizz-40-jeanneau/pdf"">PDF</a>",SUN FIZZ 40 (JEANNEAU),08954.jpg,,Jeanneau (FRA),,1984,Perkins,Diesel,50,,,,,,,,,,
